Competition,Year,Startup,Funding Post-Competition,Source of Funding,Source,Other Resources/Stories,Researcher,Dead or Alive,Notes,Keywords,,,,,
,,,"19,000",IEDC training grants,http://www.in.gov/activecalendar/EventList.aspx?view=EventDetails&eventidn=217899&information_id=213431&type=&rss=rss,,Fred ,,,,,,,,
MIT Clean Energy Prize,2012,Beejli (fmr MobiSolar),"20,000",MIT Clean Energy Prize (other prizes),http://bostinno.streetwise.co/all-series/inspiring-the-next-generation-of-entrepreneurs-mits-clean-energy-prize-awards-200k/,Founders Skills Accelerator,Fred ,,,,,,,,
MIT Clean Energy Prize,2014,Belleds Technologies,"$104,117.00",Kickstarter,https://www.crunchbase.com/organization/belleds-technologies#/entity,"MIT Media Lab Incubator, Alltop Top Innovation Service Provider Award, Cal Hack Best Mobile Hack, Presented at the SSL Ecosystem 2014, Working with Dragon Innovation",Fred ,,,,,,,,
,,,"$1,500.00",MIT-CHIEF,http://news.mit.edu/2014/mit-chief-us-china-entrepreneurship-1118,,Fred ,,,,,,,,
,,,"$2,500",MIT Clean Energy Prize,http://cep.mit.edu/cep/2014/content/2014-grand-prize-showcase-awards-success,,Fred ,,,,,,,,
ACC Clean Energy Challenge,2013,BioAdhesive Alliance,"$225,000",NSF STTR,Awardee Reporting,,Fred ,,,,,,,,
,,,"$100,000",Megawatt Winner,Awardee Reporting,,Fred ,,,,,,,,
,,,"$50,000",Mass Challenge Gold Winner,Awardee Reporting,,Fred ,,,,,,,,
,,,"$35,000",Charlotte Venture Challenge Winner,http://inside.uncc.edu/news-features/2013-05-06/greensboro-based-company-wins-charlotte-venture-challenge,,Fred ,,,,,,,,
,,,"$20,000",PTP Next Business Plan Competition Winner,Awardee Reporting,,Fred ,,,,,,,,
,,,"$10,000.00",Megawatt Finalist,Awardee Reporting,,Fred ,,,,,,,,
,,,"$125,000.00",Transportation Research Board Grant,http://apps.trb.org/cmsfeed/TRBNetProjectDisplay.asp?ProjectID=3531,,Fred ,,,,,,,,
,,,"$10,500.00",9/13 NBMBAA Innovation Whiteboard,https://twitter.com/gistanevent/status/377932180762427392,,Fred ,,,,,,,,
ACC Clean Energy Challenge,2012,Biodomes Inc.,,,,,Fred ,,,,,,,,
CU Boulder Clean Energy Competition,2013,"BioElectric, Inc. (fmr Bioelectrochemical Solutions LLC)","50,000",NSF I-Corps,http://grantome.com/grant/NSF/IIP-1445213,Featured on CBS News: http://www.cbsnews.com/news/microbes-could-help-clean-fracking-wastewater/,Fred ,,,,,,,,
ACC Clean Energy Challenge,2013,Biofuel Ecosystems,,,,,Fred ,,,,,,,,
CU Boulder Clean Energy Competition,2012,BioRecyClean,,,,2nd Place CU New Venture Challenge,Fred ,,,,,,,,
"Rice Business Plan Competition, MIT Clean Energy Prize",2013,Bit Harmonics,$500.00,,Awardee Reporting,,Fred ,,,,,,,,
,,,"$2,000",AARP Prize MIT Accelerate,http://mitsloan.mit.edu/newsroom/articles/innovation-for-health-and-wellness-comes-up-big-at-mit-accelerate-contest/,,Fred ,,,,,,,,
Clean Energy Trust,2014,Black Pine Engineering,"$10,000",Michigan Collegiate Innovation Prize,http://www.blackpineengineering.com/,,Fred ,,,,,,,,
Caltech First Look West,2012,BoxFeeds,,,,,Fred ,,,,,,,,
ACC Clean Energy Challenge,2013,BrewCovery,"$30,000.00",Friends and Family,Awardee Reporting,Cleantech Open Accelerator,Fred ,,,,,,,,
,,,"$5,000.00",ACC Clean 2nd Place,,,Fred ,,,,,,,,
MIT Clean Energy Prize,2012,Broad Peak Energy Solutions,,,,,Fred ,,,,,,,,
Caltech First Look West,2013,Building Energy Efficiency Mapping (BEEMS),,,,,Fred ,,,,,,,,
Caltech First Look West,2012,Building Robotics,"$5,500,000.00",Series A,https://www.crunchbase.com/organization/building-robotics#/entity,"Goldman Sachs 100 most intriguing entrepreneurs, sponsored the bold awards, 30 under 30, Global Cleantech 100 company, http://buildingrobotics.com/blog/comfy-results-from-the-gsa-green-proving-ground/",Fred ,,,,,,,,
Caltech First Look West,2012,Building Robotics,"$1,140,000.00","Google Ventures, Claremont Creek Ventures, Formation 8 and Red Swan Ventures",Awardee Reporting,,Fred ,,,,,,,,
Caltech First Look West,2013,Caltech Laboratory for Energy and Water,,,,,Fred ,,,,,,,,
"Caltech First Look West 
 MIT Clean Energy Prize 2015
 Rice Business Plan Competition 2015",2014,CalWave (fmr Caltech Laboratory for Energy and Water),"$500,000.00",Cycltron Road awardee,Cylotron Road,CITRIS Foundry incubator program,Fred ,,,,,,,,
,,,"$5,000.00",CITRIS,http://calwave.org/blog/,,Fred ,,,,,,,,
,,,$750.00,BERC Energ Summit,,,Fred ,,,,,,,,
,,,"$16,000.00",ASME Ishow,,,Fred ,,,,,,,,
,,,"$9,622.00",crowdfunding,,,Fred ,,,,,,,,
ACC Clean Energy Challenge,2013,CarboCatalyst,,,,,Fred ,,,,,,,,
Clean Energy Trust,2014,Carbon Origins,"10,000",Blackstone Launchpad demo day,http://cwru-daily.com/news/student-startup-carbon-origins-took-third-at-first-blackstone-launchpad-demo-day/,Blackstone Launchpad,Fred ,,,,,,,,
Clean Energy Trust,2013,Carbon Recycling Corporation,,,,,Fred ,,,,,,,,
Clean Energy Trust,2013,Carbonility,,,,,Fred ,,,,,,,,
Clean Energy Trust,2013,Ceres Biofuels,,,,,Fred ,,,,,,,,
Clean Energy Trust,2014,CH4,,,,,Fred ,,,,,,,,
Clean Energy Trust,2013,CH5,,,,,Fred ,,,,,,,,
Caltech First Look West,2013,Chai Energy,"$900,000",Series A,https://www.crunchbase.com/organization/chai-energy#/entity,"LACI, Microsoft Ventures Accelerator",Fred ,,,,,,,,
,,,"$400,000.00",Seed raise,https://www.crunchbase.com/organization/chai-energy#/entity,,Fred ,,,,,,,,
,,,"15,000",Oberlin LaunchU Pitch Competition,http://oberlinreview.org/4707/uncategorized/off-the-cuff-cole-hershkowitz-oc-11/,,Fred ,,,,,,,,
MIT Clean Energy Prize,2015,Change:WATER,"7,500",MIT IDEAS Global Challenge,http://news.mit.edu/2015/ideas-global-challenge-0416,,Fred ,,,,,,,,
ACC Clean Energy Challenge,2014,Charging Lane,,,,,Fred ,,,,,,,,
Caltech First Look West,2014,CinderBio,"$150,000",SBIR Phase 1,,,Fred ,,,,,,,,
Rice Business Plan Competition,2012,Cleanoventions,$600.00,Rice BPC,http://news.rice.edu/2012/04/17/numat-technologies-from-northwestern-crowned-rice-business-plan-competition-champion/,"Winner Concipio B-plan competition, Winner B-plan competition organised by Kshitij",Fred ,,,,,,,,
,,,"$10,000.00",Empresario,https://www.facebook.com/ecell.iitkgp/posts/10150761142163266,,Fred ,,,,,,,,
,,,"$4,500.00",India future of change,http://web.archive.org/web/20130807163228/http://www.cleanoventions.in/awards.html,,Fred ,,,,,,,,
Caltech First Look West,2012,CLEW Systems LLC,"$2,600,000.00",Gates Foundation,Awardee Reporting,,Fred ,,,,,,,,
,,,"$250,000.00",SBIR,https://www.linkedin.com/in/clementcid/en,,Fred ,,,,,,,,
,,,"300,000",vodaphone wireless innovation project,,,Fred ,,,,,,,,
MIT Clean Energy Prize,2015,CloudSolar,"445,706",Crowdfunding (undergoing legal battle),http://www.crowdfundinsider.com/2015/04/67002-cloudsolar-sues-indiegogo-for-cancelled-crowdfunding-campaign/,Cleantech Open Accelerator,Fred ,,,,,,,,
Clean Energy Trust,2013,conDUCT Solutions,,,,,Fred ,,,,,,,,
Clean Energy Trust,2012,Convolutus,"10,000",CET state competition,,,Fred ,,,,,,,,
Clean Energy Trust,2012,Cool and Clear Solar,,,,,Fred ,,,,,,,,
"MIT Clean Energy Prize, Rice Business Plan Competition",2015,CoolComposites (fmr CoolFlux),"$35,000.00",GDF Suez Infrastructure and Resources prize at MIT CEP,http://www.renewableenergyworld.com/articles/2015/06/mit-clean-energy-prize-awards-400000-to-energy-efficiency-renewable-ventures.html,2nd in the MIT Institute for Soldier Nanotechnology Soldier Design Competition,Fred ,,,,,,,,
,,,"$149,984.00",NSF SBIR Phase 1,https://www.nsf.gov/awardsearch/showAward?AWD_ID=1549136&HistoricalAwards=false,,Fred ,,,,,,,,
Clean Energy Trust,2012,Copula Design Concept for Wind Energy,,,,,Fred ,,,,,,,,
Clean Energy Trust,2015,CrystalE,,,,,Fred ,,,,,,,,
Clean Energy Trust,2013,Current Tidal,"$1,000.00",MCEVC,https://www.linkedin.com/in/jonathandiclemente,,Fred ,,,,,,,,
,,,"$5,000.00",Gerstracker Foundation Grant,https://www.linkedin.com/in/jonathandiclemente,,Fred ,,,,,,,,
Clean Energy Trust,2013,CW Inc.,,,,,Fred ,,,,,,,,
Caltech First Look West,2013,Daycasters,,,,,Fred ,,,,,,,,
Clean Energy Trust,2012,DF Tech,"$100,000",State Funds,Awardee Reporting,"30 under 30, ComEd female founder award, Top 40 under 40 Midwest energy news, 2012 rising star company, Nortech Speed to market accelerator",Fred ,,,,,,,,
,,,"$100,000",Angel or Other Seed Funds,Awardee Reporting,,Fred ,,,,,,,,
,,,"$11,000.00",Angel or Other Seed Funds,Awardee Reporting,,Fred ,,,,,,,,
,,,"$75,000.00",Female Founder competition,http://www.crainscleveland.com/article/20140307/FREE/140309831/lorain-countys-innovation-fund-awards-400000-in-grants,,Fred ,,,,,,,,
,,,"$25,000.00",Innovation Fund,,,Fred ,,,,,,,,
,,,"$10,000.00",CET state competition,,,Fred ,,,,,,,,
Caltech First Look West,2013,Dfly Systems (fmr Dragonfly Systems),"$300,000.00",,Awardee Reporting,Acquired by SunPower http://www.greentechmedia.com/articles/read/SunPower-Acquires-Dfly-Systems-a-Solar-Power-Electronics-Startup,Fred ,,,,,,,,
,,,"1,100,000",Seed raise,https://www.crunchbase.com/organization/dragonfly-systems#/entity,"PCH International's Highway1 hardware incubator, 3rd 2013&2014 flow, 30 under 30, Clean Tech Open",Fred ,,,,,,,,
MIT Clean Energy Prize,2014,Drinkwelll,"$100,000.00",MassChallenge,http://www.bizjournals.com/boston/blog/startups/2014/10/meet-the-startup-winners-of-the-2014-masschallenge.html?page=all,"Cleantech Open Northeast, 30 under 30 Social Entrepreneurs, AFI’s Silicon Valley Challenge 2015 Top 5, SoCAP Gratitude Award Winner, Echoing Green fellow, Cleanech Open Water track award, SXSW Startup Showcase Social Impact Winner, Imagine H2O Accelerator",Fred ,,,,,,,,
,,,"$25,000.00",Global Social Venture Conference and Competition,http://poetsandquants.com/2015/04/18/socially-minded-ventures-compete-at-haas/,,Fred ,,,,,,,,
,,,$500.00,Venture Forum Pitch Contest Audience Choice,https://theventureforum.org/Resources/Documents/TVF%202014%20Five%20Minute%20Pitch%20winners%20031214.pdf,,Fred ,,,,,,,,
Clean Energy Trust,2012,DSP,,,,,Fred ,,,,,,,,
MIT Clean Energy Prize,2012,Dynamo Micropower,"$30,000",SURGE,"Awardee Reporting, http://www.necec.org/member-news-details/dynamo-micropower-selected-for-surge-accelerator-startup-program.html","Cleantech Open Accelerator, Partnered with Greentwon Labs, SURGE accelerator,",Fred ,,,,,,,,
Rice Business Plan Competition,2012,,"$1,500,000.00",Series A,https://angel.co/dynamo-micropower,,Fred ,,,,,,,,
ACC Clean Energy Challenge,2012,,"$646,000.00",Partial Close Funding,,,Fred ,,,,,,,,
,,,"$50,000.00",Mass Challenge,,,Fred ,,,,,,,,
,,,"$150,000.00",NSF SBIR Phase 1,,,Fred ,,,,,,,,
,,,"$175,000.00",Mass Development Loan,http://www.betaboston.com/news/2015/03/31/175000-from-massdevelopment-carries-dynamo-micropower-into-pilot-tests/,,Fred ,,,,,,,,
,,,"$1,500.00",New Energy Symposium,http://www.sunycnse.com/neny/Events/2012NESymposium.aspx,,Fred ,,,,,,,,
,,,"$135,000.00",DOE Stripper Well Consortium Grant,,,Fred ,,,,,,,,
,,,"$500,000.00",SBIR Phase 2,https://sbirsource.com/sbir/firms/24609-dynamo-micropower,,Fred ,,,,,,,,
,,,"$45,000.00",Clean Energy Alliance,,,Fred ,,,,,,,,
,,,"$1,250.00",Rice BPC,http://alliance.rice.edu/2012_Participant_Winners/,,Fred ,,,,,,,,
,,,"$20,000.00",Cleantech Innovations NE,http://dynamo-micropower.com/awards-and-accolades/,,Fred ,,,,,,,,
Clean Energy Trust,2012,e1e2,,,,,Vincent,Alive,March 2016 Facebook Post,,,,,,
Caltech First Look West,2013,Earth Starter,"$107,500.00",Kickstarter,Awardee Reporting,"Founded UrbnEarth, Points of Light Civic Accelerator",Vincent,Dead,Website Not Loading,,,,,,
,,,"$50,000.00",Cupid's Cup,,,Vincent,,Possible Deactivated Website,,,,,,
,,,"250,000",Revenue,https://www.linkedin.com/in/philweiner,,Vincent,,,,,,,,
Caltech First Look West,2012,eChemion (frm EnergIndependence),"245,000","family/friends, OSU Best Competition, grants",Awardee Reporting,Advantage Accelerator,Vincent,Alive,February 2016 Facebook Post,,,,,,
ACC Clean Energy Challenge,2012,EcoAssists,,,,Invited speaker of 2012 World Energy Engineering Congress,Vincent,Dead,2012 Facebook Post,,,,,,
Clean Energy Trust,2013,DaStrong Corp (fmr EcoBreeze),"$22,500.00",Rice BPC,http://alliance.rice.edu/rbpc2014_winners_pressrelease/,Incorporated,Vincent,,Early 2015 Facebook Post,,,,,,
,,,"$500,000.00",43North BPC,http://www.43north.org/dastrong-corp,,Vincent,,,,,,,,
,,,"$300,000.00",Angel Invest,http://www.dastrong.com/index.php?c=list&cs=news,,Vincent,,,,,,,,
MIT Clean Energy Prize,2014,Ecolate,,,,,Vincent,,,,,,,,
Rice Business Plan Competition,2013,"EcoLight (fmr House Inc., Cirquility)","$250,000.00",,Awardee Reporting,"Thayer School largest customer, company sold in 2013",Vincent,Success!,Sold in 2013,,,,,,
,,,"$2,500.00",Rice BPC,http://engineering.dartmouth.edu/magazine/incubating-an-eco-business/,,Vincent,,,,,,,,
Clean Energy Trust,2013,EcoSpinners,,,,"CWRU Blackstone LaunchPad, Midwest Accelerator",Vincent,,Most Recent Post 2013,,,,,,
ACC Clean Energy Challenge,2014,e-Electricity,"$8,000.00",Edward K Aldag BPC,https://www.facebook.com/ElectricityUnplugged/info/?tab=page_info,2013 Alabama Launchpad,Vincent,Dead,Facebook discontinued,,,,,,
,,,"$13,500",University of Alabama BPC,,,Vincent,,Website discontinued,,,,,,
Rice Business Plan Competition,2013,Eeme,"$150,000.00",,Awardee Reporting,2014 Pilot Customer - San Diego Gas and Electric Co.,Vincent,Alive,March 2016 Facebook Post,,,,,,
,,,"$1,000",Rice BPC,http://news.rice.edu/2013/04/22/2013-rice-business-plan-competition-awards-1-5-million-crowns-world-champion/,,Vincent,,,,,,,,
Clean Energy Trust,2012,Effimax Solar,"$150,000",SBIR/STTR,Awardee Reporting,,Vincent,Dead,Discontinued Website,,,,,,
,,,"$5,500",Angel or Other Seed Funds,Awardee Reporting,NCIIA Venturewell,Vincent,,2011 Facebook Post,,,,,,
MIT Clean Energy Prize,2013,Effortless Energy,"$100,000",Energy Excelerator,Awardee Reporting,"Midwest 40 under 40, Impact Engine Accelerator",Vincent,Alive,Entered 2016 MIT Clean Energy Price,,,,,,
Rice Business Plan Competition,,,"$45,000",University of Chicago,Awardee Reporting,,Vincent,,,,,,,,
Clean Energy Trust,,,"$25,000",Angel or Other Seed Funds,Awardee Reporting,,Vincent,,,,,,,,
,,,"$10,000",Clean Energy Trust,Awardee Reporting,,Vincent,,,,,,,,
,,,"$5,000",University of Pennsylvania,Awardee Reporting,,Vincent,,,,,,,,
,,,700,,Awardee Reporting,,Vincent,,,,,,,,
Clean Energy Trust,2013,Effuelent,"$40,000.00",Odebrecht Award for Sustainability Development Competition,http://www.uc.edu/news/NR.aspx?id=18528,,Vincent,Dead,Most Recent Post was for Support for a 2014 Contest,,,,,,
,,,"$1,000.00",IQ Elevator Pitch,http://www.effuelent.com/awards--competitions.html,,Vincent,,,,,,,,
,,,"$5,000.00",NCIIA,http://www.effuelent.com/awards--competitions.html,,Vincent,,,,,,,,
,,,"$75,000.00",EPA P3 Grant,http://www.effuelent.com/awards--competitions.html,,Vincent,,,,,,,,
Caltech First Look West,2012,eHale,,,,,Vincent,,,,,,,,
Clean Energy Trust,2012,Electroluminescent Products,,,,,Vincent,Unsure ,Couldn't Find anything,,,,,,
Rice Business Plan Competition,2015,Elegus Technologies,"$50,000.00",NSF Grant,https://www.research.gov/research-portal/appmanager/base/desktop;jsessionid=6bVnJZlb1YJv3pGNV66ZPXNZ18Mjct2sbTcp6YhRxF1WxPFckyn8!409253227!-342394589?_nfpb=true&_windowLabel=rsrRecentAwards_2&wsrp-urlType=blockingAction&wsrp-url=&wsrp-requiresRewrite=&wsrp-navigationalState=eJyLL07OL0i1Tc-JT0rMUYNQtgBZ6Af8&wsrp-interactionState=wlprsrRecentAwards_2_action%3DviewRsrDetail%26wlprsrRecentAwards_2_fedAwrdId%3D1464101&wsrp-mode=wsrp%3Aview&wsrp-windowState=,"NextEnergy I-Corps Energy and Transportation training program 2014, TechStars accelerator, 3rd Place Global Venture Labs Investment Competition,",Vincent,,Most Recent News regarding Company,,,,,,
,,,"$170,000",Seed raise,https://www.crunchbase.com/funding-round/900466e2358a9702ca51a6c4f29d01d2,,Vincent,,Is in 2015 (mid),,,,,,
Rice Business Plan Competition,2012,Elemental Enzymes,"$660,000.00","Centennial, Allen Angel Capital Education Program, St.",Awardee Reporting,"Missouri Innovation Center (Incubator), research initiative with Bayer CropScience, Won the Walmart Regional Better Living Business Plan Challenge 2012",Vincent,Alive,December 2015 Facebook Post,,,,,,
,,,"$1,000",Rice BPC,http://news.rice.edu/2012/04/17/numat-technologies-from-northwestern-crowned-rice-business-plan-competition-champion-2/,,Vincent,,,,,,,,
Rice Business Plan Competition,2013,EnerLeap (fmr EnerLeap),"$50,000",,Awardee Reporting,MassChallenge CASIS prize,Vincent,Dead,December 2013 Twitter Post,,,,,,
Rice Business Plan Competition,2013,Enkinta Energy,"$1,250",Rice BPC,Awardee Reporting,"Western Cleantech Open Accelerator,",Vincent,,,,,,,,
MIT Clean Energy Prize,2012,Envir Energy,,,,,Vincent,,,,,,,,
Caltech First Look West,2012,Envirohaven,"35,000",Donald W. Reynolds Governor's Cup,,"US utility patent awarded for house design, won 2 2015 BANN-er award categories",Vincent,Alive,Active Facebook,,,,,,
